Governorate,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
Total,80410017,78728329,76925139,75229020,73643587,72008901,70653326,69303902,67965096,66627610
Cairo,7366143,7248671,7104467,6952861,7988657,7968042,7839943,7707866,7570718,7444312
Alexandria,4471305,4400264,4316741,4238100,4164750,3919290,3855993,3790062,3724360,3661131
Port-Said,620991,610468,599182,587849,576599,550113,541618,532809,524518,517201
Suez,568841,556665,542822,530092,518557,505188,495307,485612,474994,465105
Helwan,1891887,1846448,1800959,1765478, -, -, -, -, -, -
6-Oct,3110175,3031690,2962693,2659698, -, -, -, -, -, -
Damietta,1222249,1195185,1165936,1137209,1112163,1115628,1092740,1070297,1048545,1026232
Dakahlia,5492839,5378156,5261453,5148126,5044050,5077668,4984198,4892981,4800462,4707044
Sharkia,5932177,5802739,5666980,5544536,5426303,5283317,5176660,5071161,4967140,4855047
Kalyoubia,4693824,4597529,4493375,4395184,4300328,3980960,3907547,3836211,3765043,3693918
Kafr-ElSheikh,2900909,2841010,2776350,2712194,2653144,2654060,2608966,2557474,2510977,2467098
Gharbia,4388552,4305074,4216534,4136016,4055091,4038791,3968300,3898567,3829575,3765361
Menoufia,3611090,3534943,3455434,3381399,3309482,3321499,3260053,3201829,3141588,3080716
Behera,5258024,5155442,5035067,4911894,4802272,4819797,4732127,4647280,4557648,4469924
Ismailia,1063889,1042660,1015726,990693,966273,895116,874732,855687,836870,816780
Giza,3188624,3122041,3054819,3239261,6364682,5800382,5689313,5576623,5471246,5368471
Beni-Suef,2559564,2505500,2438316,2377783,2320629,2317844,2269373,2222242,2176868,2133675
Fayoum,2847523,2760245,2683188,2612455,2546882,2501607,2447826,2398931,2347162,2292071
Menia,4652383,4542415,4426528,4318700,4212158,4190414,4099869,4009494,3920521,3830129
Asyout,3839937,3748997,3655349,3569845,3486681,3535363,3461836,3389991,3315231,3241180
Suhag,4157975,4069881,3971431,3878061,3792045,3889524,3811721,3736328,3666346,3586673
Qena,2764912,2705809,3174163,3107712,3036415,3023797,2965402,2905506,2849387,2788601
Aswan,1302573,1278948,1251618,1223829,1196946,1146160,1126532,1105911,1086949,1069326
Luxor,1053896,1032782,479623,470258,461604,433156,425708,418224,410412,402913
Red Sea,316775,309877,303620,297377,291884,193151,188871,184781,181174,177279
ElWadi ElGidid,206006,201659,197321,193320,189447,175122,171279,167801,163942,160281
Matrouh,380155,367426,352073,337523,326684,280299,274482,266406,258979,252346
North Sinai,388702,379677,369069,358944,348880,324674,316254,308579,300611,292520
South Sinai,158097,156128,154302,152623,150981,67939,66676,65249,63830,62276
